16-06-18_17-41-03-625 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =   96.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   83.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   96.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
16-06-18_17-44-53-664 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   83.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   92.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   89.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   94.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   91.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =   91.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =   92.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =   94.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =   90.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   76.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   90.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   93.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   91.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   90.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =   91.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =   93.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =   93.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =   89.0 | 
16-06-18_17-45-02-568 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   96.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   95.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
16-06-18_17-45-14-115 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   91.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   96.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   96.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   87.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   96.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =   93.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
16-06-18_17-45-30-171 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  10 | accuracy =   99.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  10 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  10 | accuracy =   87.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  10 | accuracy =   97.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  10 | accuracy =   98.0 | 
